,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Montana
21,Nebraska
22,New Hampshire
23,New Jersey
24,New Mexico
25,North Carolina
26,North Dakota
27,Ohio
28,Oklahoma
29,Oregon
30,Pennsylvania
31,Rhode Island
32,South Carolina
33,South Dakota
34,Tennessee
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
41,Wyoming
